post_id,source,target,tipo_interacao,data
962479,4311,962479,repost,20231013
37733,89893,37733,repost,20240216
361158,133,361158,repost,20240123
34065,120,34065,repost,20230928
1150309,188490,1150309,repost,20240312
825282,8358,825282,repost,20240107
645574,132,645574,repost,20231208
1871823,377402,1871823,repost,20240229
1655140,28610,1655140,repost,20240208
131183,64830,131183,repost,20230923
724451,199069,724451,repost,20231102
342689,382915,342689,repost,20231003
364283,350508,364283,repost,20240211
24864,570474,24864,repost,20231208
918201,15853,918201,repost,20230909
32336,6547,32336,repost,20240317
245082,131,245082,repost,20230502
818790,1229,818790,repost,20240207
2503653,5694,2503653,repost,20231022
575696,190501,575696,repost,20240313
12363,20973,12363,repost,20231003
2174679,36655,2174679,repost,20240229
321296,140995,321296,repost,20240201
838207,418841,838207,repost,20231108
722818,10180,722818,repost,20240117
97649,80198,97649,repost,20231224
2064587,165794,2064587,repost,20240317
59102,153121,59102,repost,20240212
160768,188774,160768,repost,20231216
183133,144705,183133,repost,20230710
292200,26422,292200,repost,20240217
472137,54600,472137,repost,20231117
130939,45624,130939,repost,20240216
1359656,450042,1359656,repost,20240316
644794,628,644794,repost,20231122
41511,49283,41511,repost,20231025
134216,30431,134216,repost,20231231
219651,223318,219651,repost,20231205
1116432,79482,1116432,repost,20231220
381169,19081,381169,repost,20240101
13073,29662,13073,repost,20240106
911117,20253,911117,repost,20231224
171027,415128,171027,repost,20231011
383149,6534,383149,repost,20230927
933587,29599,933587,repost,20240207
199436,293606,199436,repost,20240122
26190,385016,26190,repost,20231220
866846,32143,866846,repost,20231013
33304,135459,33304,repost,20230831
49161,88340,49161,repost,20230806
48223,48218,48223,repost,20240303
14574,235025,14574,repost,20240305
1767005,183823,1767005,repost,20230914
1516945,179536,1516945,repost,20240218
1722,66,1722,repost,20240108
498882,433845,498882,repost,20240229
154857,31634,154857,repost,20231217
3270161,1982,3270161,repost,20240211
32445,3145,32445,repost,20230830
693651,7301,693651,repost,20230912
853125,7411,853125,repost,20240222
127677,1221,127677,repost,20240303
13043,359221,13043,repost,20240318
263881,12339,263881,repost,20231003
342192,37906,342192,repost,20230915
64827,6927,64827,repost,20231127
275839,50550,275839,repost,20240120
62217,79293,62217,repost,20230902
175388,175385,175388,repost,20231111
437486,35527,437486,repost,20231004
631057,353581,631057,repost,20240208
159028,169818,159028,repost,20231028
232646,31431,232646,repost,20230920
1039254,1537922,1039254,repost,20240210
150400,86289,150400,repost,20231122
